,Name,Pos,FV,Age,ETA,Proj Team,PlayerId,Org
78,Deok-ju Ham,SIRP,35+,29.0027777,2024.0,,kr3012366,
81,Jacob Waguespack,SIRP,35+,30.1916666,2024.0,,18318,
82,Kyle Keller,SIRP,35+,30.7111111,2024.0,,18890,
109,Stephen Kolek,SIRP,35+,26.9,2024.0,,sa3007990,SDP
110,Sean Reynolds,SIRP,35+,25.8972222,2024.0,,sa917966,SDP
111,Korry Howell,CF,35+,25.5305555,2024.0,,sa3008238,SDP
113,Yovanny Cruz,SIRP,35+,24.5527777,2024.0,,sa3002951,SDP
178,Trey McLoughlin,SIRP,35+,24.7527777,2024.0,,sa3017277,NYM
187,Josh Walker,SIRP,35+,29.2805555,2024.0,,23617,NYM
195,Victor Castaneda,SP,35+,25.5416666,2024.0,,sa978399,NYM
203,Justin Jarvis,MIRP,35+,24.0611111,2024.0,,sa3007775,NYM
